Meadow,Site,MS,Elevation,Species1,Species2,Schoener,DipteraVsPlants
n,4,n4,1420,ProportionDaucus carota,ProportionZDensityDipteraTOTAL,0.421866458,x
n,5,n5,1398.6,ProportionReseda lutea,ProportionZDensityDipteraTOTAL,0.42234299,x
a,4,a4,1002.8,ProportionVeronica spicata,ProportionZDensityDipteraTOTAL,0.422658047,x
u,1,u1,1745.8,ProportionHypericum sp#,ProportionZDensityDipteraTOTAL,0.423302641,x
i,1,i1,766.3,ProportionGlobularia nudicaulis,ProportionZDensityDipteraTOTAL,0.425791736,x
i,4,i4,702.4,ProportionCarum carvi,ProportionZDensityDipteraTOTAL,0.426585332,x
i,4,i4,702.4,ProportionTaraxacum sp#,ProportionZDensityDipteraTOTAL,0.427441755,x
o,4,o4,1576.2,ProportionCrepis/Hieracium,ProportionZDensityDipteraTOTAL,0.427967594,x
i,6,i6,702.2,ProportionLathyrus pratensis,ProportionZDensityDipteraTOTAL,0.428764998,x
a,1,a1,1020.6,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.429382033,x
i,7,i7,648.5,ProportionRanunculus sp#,ProportionZDensityDipteraTOTAL,0.429569378,x
n,1,n1,1390.3,ProportionTrifolium montana,ProportionZDensityDipteraTOTAL,0.430211586,x
i,2,i2,737.4,ProportionGlobularia nudicaulis,ProportionZDensityDipteraTOTAL,0.430569551,x
i,4,i4,702.4,ProportionGeranium pusillum,ProportionZDensityDipteraTOTAL,0.43063553,x
n,2,n2,1405.5,ProportionTrifolium pratense,ProportionZDensityDipteraTOTAL,0.430770142,x
i,4,i4,702.4,ProportionHelianthemum nummularium,ProportionZDensityDipteraTOTAL,0.431014075,x
i,5,i5,684.5,ProportionAster amellus,ProportionZDensityDipteraTOTAL,0.431181418,x
i,6,i6,702.2,ProportionLotus maritimus,ProportionZDensityDipteraTOTAL,0.431351007,x
a,3,a3,949.8,ProportionLeucanthemum vulgare,ProportionZDensityDipteraTOTAL,0.431774256,x
a,3,a3,949.8,ProportionMedicago sativa,ProportionZDensityDipteraTOTAL,0.431774256,x
n,2,n2,1405.5,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.431885569,x
i,5,i5,684.5,ProportionPrunella sp#,ProportionZDensityDipteraTOTAL,0.4325718,x
i,6,i6,702.2,ProportionRanunculus sp#,ProportionZDensityDipteraTOTAL,0.432761207,x
a,3,a3,949.8,ProportionArabis/Arabidopsis,ProportionZDensityDipteraTOTAL,0.433447726,x
u,2,u2,1749.2,ProportionMedicago lupulina,ProportionZDensityDipteraTOTAL,0.433831134,x
o,3,o3,1612.7,ProportionHypericum sp#,ProportionZDensityDipteraTOTAL,0.43536913,x
i,2,i2,737.4,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.435415551,x
i,2,i2,737.4,ProportionCirsium acaule,ProportionZDensityDipteraTOTAL,0.436076894,x
i,6,i6,702.2,ProportionPulsatilla sp#,ProportionZDensityDipteraTOTAL,0.437226206,x
n,4,n4,1420,ProportionAegopodium podagraria,ProportionZDensityDipteraTOTAL,0.437648054,x
a,3,a3,949.8,ProportionStachys officinalis,ProportionZDensityDipteraTOTAL,0.437796123,x
i,4,i4,702.4,ProportionCrepis sp#,ProportionZDensityDipteraTOTAL,0.439006185,x
a,4,a4,1002.8,ProportionCirsium arvense,ProportionZDensityDipteraTOTAL,0.439381515,x
i,4,i4,702.4,ProportionSilene vulgaris,ProportionZDensityDipteraTOTAL,0.439508138,x
i,5,i5,684.5,ProportionGeranium sp#,ProportionZDensityDipteraTOTAL,0.440118493,x
a,2,a2,984.9,ProportionAnthericum ramosum,ProportionZDensityDipteraTOTAL,0.441078292,x
a,2,a2,984.9,ProportionMedicago sativa,ProportionZDensityDipteraTOTAL,0.44136687,x
o,3,o3,1612.7,ProportionPlantago media,ProportionZDensityDipteraTOTAL,0.44142363,x
i,1,i1,766.3,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.441776062,x
a,3,a3,949.8,ProportionTrifolium repens,ProportionZDensityDipteraTOTAL,0.442350366,x
i,7,i7,648.5,ProportionTeurium montanum,ProportionZDensityDipteraTOTAL,0.442556391,x
n,5,n5,1398.6,ProportionArabis/Arabidopsis,ProportionZDensityDipteraTOTAL,0.442609321,x
i,5,i5,684.5,ProportionBellis perennis,ProportionZDensityDipteraTOTAL,0.442808364,x
a,2,a2,984.9,ProportionArabis/Arabidopsis,ProportionZDensityDipteraTOTAL,0.443141521,x
a,2,a2,984.9,ProportionTeucrium chamaedris,ProportionZDensityDipteraTOTAL,0.44374559,x
n,3,n3,1407.7,ProportionEuphrasia sp,ProportionZDensityDipteraTOTAL,0.443760279,x
a,3,a3,949.8,ProportionTrifolium montana,ProportionZDensityDipteraTOTAL,0.444329285,x
a,5,a5,1001,ProportionVincetoxicum hirundinaria,ProportionZDensityDipteraTOTAL,0.445001352,x
a,2,a2,984.9,ProportionSilene vulgaris,ProportionZDensityDipteraTOTAL,0.445770706,x
i,7,i7,648.5,ProportionCampanula sp#,ProportionZDensityDipteraTOTAL,0.446236346,x
n,5,n5,1398.6,ProportionCentaurea sp#,ProportionZDensityDipteraTOTAL,0.447520182,x
n,5,n5,1398.6,ProportionTeucrium chamaedris,ProportionZDensityDipteraTOTAL,0.447620894,x
o,4,o4,1576.2,ProportionKnautia/ Scabiosa,ProportionZDensityDipteraTOTAL,0.448701527,x
a,1,a1,1020.6,ProportionPastinaca sativa,ProportionZDensityDipteraTOTAL,0.448981159,x
o,3,o3,1612.7,ProportionCirsium arvense,ProportionZDensityDipteraTOTAL,0.449133313,x
n,5,n5,1398.6,ProportionSilene nutans,ProportionZDensityDipteraTOTAL,0.449705876,x
i,5,i5,684.5,ProportionHypericum sp#,ProportionZDensityDipteraTOTAL,0.450275074,x
i,2,i2,737.4,ProportionRanunculus sp#,ProportionZDensityDipteraTOTAL,0.450379647,x
a,3,a3,949.8,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.451005025,x
a,6,a6,981.9,ProportionAgrimonia eupatoria,ProportionZDensityDipteraTOTAL,0.451485993,x
o,3,o3,1612.7,ProportionCarum carvi,ProportionZDensityDipteraTOTAL,0.452755668,x
n,4,n4,1420,ProportionAcinos alpinus,ProportionZDensityDipteraTOTAL,0.453172589,x
a,3,a3,949.8,ProportionGalium sp#,ProportionZDensityDipteraTOTAL,0.45379961,x
i,2,i2,737.4,ProportionPlantago media,ProportionZDensityDipteraTOTAL,0.454221027,x
a,5,a5,1001,ProportionSilene vulgaris,ProportionZDensityDipteraTOTAL,0.45485405,x
i,5,i5,684.5,ProportionGalium sp#,ProportionZDensityDipteraTOTAL,0.455607279,x
a,2,a2,984.9,ProportionOrchis ustulata,ProportionZDensityDipteraTOTAL,0.456610738,x
i,2,i2,737.4,ProportionAnthericum ramosum,ProportionZDensityDipteraTOTAL,0.456937963,x
n,3,n3,1407.7,ProportionCirsium arvense,ProportionZDensityDipteraTOTAL,0.457414613,x
i,5,i5,684.5,ProportionTeucrium chamaedris,ProportionZDensityDipteraTOTAL,0.457637461,x
a,5,a5,1001,ProportionGalium sp#,ProportionZDensityDipteraTOTAL,0.45781493,x
a,1,a1,1020.6,ProportionPimpinella sp#,ProportionZDensityDipteraTOTAL,0.458283351,x
a,2,a2,984.9,ProportionAgrimonia eupatoria,ProportionZDensityDipteraTOTAL,0.458610591,x
a,5,a5,1001,ProportionSolanum dulgamara,ProportionZDensityDipteraTOTAL,0.461722155,x
o,3,o3,1612.7,ProportionAchillea millefolium,ProportionZDensityDipteraTOTAL,0.462439498,x
a,2,a2,984.9,ProportionMedicago lupulina,ProportionZDensityDipteraTOTAL,0.462578527,x
a,1,a1,1020.6,ProportionPotentilla erecta,ProportionZDensityDipteraTOTAL,0.463827171,x
i,4,i4,702.4,ProportionBellis perennis,ProportionZDensityDipteraTOTAL,0.464547815,x
a,5,a5,1001,ProportionSedum album,ProportionZDensityDipteraTOTAL,0.464610521,x
i,1,i1,766.3,ProportionTrifolium pratense,ProportionZDensityDipteraTOTAL,0.464725782,x
a,1,a1,1020.6,ProportionCrepis/Hieracium/Leontodon,ProportionZDensityDipteraTOTAL,0.466097324,x
a,1,a1,1020.6,ProportionCrepis/Hieracium,ProportionZDensityDipteraTOTAL,0.466259101,x
o,3,o3,1612.7,ProportionAcinos alpinus,ProportionZDensityDipteraTOTAL,0.466442108,x
n,3,n3,1407.7,ProportionCarduus defloratus,ProportionZDensityDipteraTOTAL,0.466796368,x
i,6,i6,702.2,ProportionCentaurea sp#,ProportionZDensityDipteraTOTAL,0.467818178,x
n,1,n1,1390.3,ProportionHieracium pilosella,ProportionZDensityDipteraTOTAL,0.467928139,x
a,1,a1,1020.6,ProportionPlantago media,ProportionZDensityDipteraTOTAL,0.467936326,x
i,5,i5,684.5,ProportionGalium verum,ProportionZDensityDipteraTOTAL,0.468072138,x
i,3,i3,711.5,ProportionCampanula sp#,ProportionZDensityDipteraTOTAL,0.468934089,x
n,3,n3,1407.7,ProportionHypericum sp#,ProportionZDensityDipteraTOTAL,0.469021251,x
u,1,u1,1745.8,ProportionPlantago lanceolata,ProportionZDensityDipteraTOTAL,0.470165962,x
n,5,n5,1398.6,ProportionHieracium pilosella,ProportionZDensityDipteraTOTAL,0.470375421,x
i,1,i1,766.3,ProportionKnautia/ Scabiosa,ProportionZDensityDipteraTOTAL,0.471042471,x
n,3,n3,1407.7,ProportionAchillea millefolium,ProportionZDensityDipteraTOTAL,0.471446213,x
n,4,n4,1420,ProportionLathyrus pratensis,ProportionZDensityDipteraTOTAL,0.472250423,x
a,6,a6,981.9,ProportionSilene vulgaris,ProportionZDensityDipteraTOTAL,0.473027473,x
a,3,a3,949.8,ProportionBuphthalmum salicifolium,ProportionZDensityDipteraTOTAL,0.473380416,x
n,4,n4,1420,ProportionAlchemilla sp#,ProportionZDensityDipteraTOTAL,0.473754874,x
i,4,i4,702.4,ProportionLathyrus pratensis,ProportionZDensityDipteraTOTAL,0.473966426,x
i,7,i7,648.5,ProportionAsperula cynanchica,ProportionZDensityDipteraTOTAL,0.474947368,x
i,4,i4,702.4,ProportionSalvia pratensis,ProportionZDensityDipteraTOTAL,0.476705991,x
a,6,a6,981.9,ProportionCentaurea sp#,ProportionZDensityDipteraTOTAL,0.476877961,x
o,3,o3,1612.7,ProportionCrepis/Hieracium,ProportionZDensityDipteraTOTAL,0.476942549,x
u,2,u2,1749.2,ProportionCampanula sp#,ProportionZDensityDipteraTOTAL,0.477905107,x
a,1,a1,1020.6,ProportionCentaurea sp#,ProportionZDensityDipteraTOTAL,0.478668944,x
a,1,a1,1020.6,ProportionVeronica spicata,ProportionZDensityDipteraTOTAL,0.478909682,x
n,2,n2,1405.5,ProportionSedum album,ProportionZDensityDipteraTOTAL,0.478999131,x
i,1,i1,766.3,ProportionCentaurea sp#,ProportionZDensityDipteraTOTAL,0.479593765,x
a,3,a3,949.8,ProportionDaucus carota,ProportionZDensityDipteraTOTAL,0.480155881,x
a,2,a2,984.9,ProportionEuphrasia sp,ProportionZDensityDipteraTOTAL,0.480196099,x
i,7,i7,648.5,ProportionPlantago media,ProportionZDensityDipteraTOTAL,0.480465116,x
n,3,n3,1407.7,ProportionCirsium acaule,ProportionZDensityDipteraTOTAL,0.481429077,x
i,5,i5,684.5,ProportionThymus sp#,ProportionZDensityDipteraTOTAL,0.483249415,x
n,3,n3,1407.7,ProportionPotentilla erecta,ProportionZDensityDipteraTOTAL,0.48340856,x
a,1,a1,1020.6,ProportionPlantago lanceolata,ProportionZDensityDipteraTOTAL,0.484328269,x
n,1,n1,1390.3,ProportionTrifolium repens,ProportionZDensityDipteraTOTAL,0.484372936,x
o,3,o3,1612.7,ProportionThymus sp#,ProportionZDensityDipteraTOTAL,0.484550493,x
i,5,i5,684.5,ProportionSedum album,ProportionZDensityDipteraTOTAL,0.484553534,x
n,1,n1,1390.3,ProportionCirsium acaule,ProportionZDensityDipteraTOTAL,0.487060962,x
o,3,o3,1612.7,ProportionEuphrasia sp,ProportionZDensityDipteraTOTAL,0.487082089,x
n,4,n4,1420,ProportionCarum carvi,ProportionZDensityDipteraTOTAL,0.487366046,x
a,3,a3,949.8,ProportionPlantago media,ProportionZDensityDipteraTOTAL,0.487391154,x
a,5,a5,1001,ProportionMedicago sativa,ProportionZDensityDipteraTOTAL,0.487646685,x
i,2,i2,737.4,ProportionArenaria/Linum ym#,ProportionZDensityDipteraTOTAL,0.488398135,x
a,4,a4,1002.8,ProportionOnonis spinosa,ProportionZDensityDipteraTOTAL,0.488591056,x
i,4,i4,702.4,ProportionPimpinella sp#,ProportionZDensityDipteraTOTAL,0.488806899,x
a,3,a3,949.8,ProportionAsperula cynanchica,ProportionZDensityDipteraTOTAL,0.488961199,x
o,4,o4,1576.2,ProportionCirsium acaule,ProportionZDensityDipteraTOTAL,0.48925633,x
a,5,a5,1001,ProportionEuphrasia sp,ProportionZDensityDipteraTOTAL,0.489708181,x
o,4,o4,1576.2,ProportionLathyrus pratensis,ProportionZDensityDipteraTOTAL,0.490745781,x
u,1,u1,1745.8,ProportionTragopodon pratensis,ProportionZDensityDipteraTOTAL,0.490857375,x
a,5,a5,1001,ProportionAcinos alpinus,ProportionZDensityDipteraTOTAL,0.491261787,x
i,2,i2,737.4,ProportionLotus corniculatus,ProportionZDensityDipteraTOTAL,0.49169749,x
i,3,i3,711.5,ProportionSalvia pratensis,ProportionZDensityDipteraTOTAL,0.492781196,x
u,2,u2,1749.2,ProportionCerastium sp#,ProportionZDensityDipteraTOTAL,0.492901652,x
o,3,o3,1612.7,ProportionPimpinella sp#,ProportionZDensityDipteraTOTAL,0.49342247,x
n,3,n3,1407.7,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.493774319,x
i,1,i1,766.3,ProportionLotus maritimus,ProportionZDensityDipteraTOTAL,0.494297317,x
n,1,n1,1390.3,ProportionCentaurea sp#,ProportionZDensityDipteraTOTAL,0.4943858,x
i,2,i2,737.4,ProportionPotentilla erecta,ProportionZDensityDipteraTOTAL,0.494626434,x
n,3,n3,1407.7,ProportionKnautia/ Scabiosa,ProportionZDensityDipteraTOTAL,0.495239672,x
i,1,i1,766.3,ProportionAnthericum ramosum,ProportionZDensityDipteraTOTAL,0.49643061,x
u,1,u1,1745.8,ProportionHieracium pilosella,ProportionZDensityDipteraTOTAL,0.497099812,x
n,5,n5,1398.6,ProportionLeucanthemum vulgare,ProportionZDensityDipteraTOTAL,0.497146706,x
i,6,i6,702.2,ProportionPastinaca sativa,ProportionZDensityDipteraTOTAL,0.497530921,x
n,4,n4,1420,ProportionHieracium pilosella,ProportionZDensityDipteraTOTAL,0.497909463,x
a,2,a2,984.9,ProportionLeucanthemum vulgare,ProportionZDensityDipteraTOTAL,0.498774901,x
n,4,n4,1420,ProportionTeucrium chamaedris,ProportionZDensityDipteraTOTAL,0.498789535,x
a,6,a6,981.9,ProportionBellis perennis,ProportionZDensityDipteraTOTAL,0.498883475,x
a,1,a1,1020.6,ProportionCirsium acaule,ProportionZDensityDipteraTOTAL,0.499106783,x
i,6,i6,702.2,ProportionPolygala comosa,ProportionZDensityDipteraTOTAL,0.499266706,x
a,6,a6,981.9,ProportionTrifolium repens,ProportionZDensityDipteraTOTAL,0.49933205,x
i,1,i1,766.3,ProportionConvolvulus arvensis,ProportionZDensityDipteraTOTAL,0.499446499,x
i,6,i6,702.2,ProportionLeucanthemum vulgare,ProportionZDensityDipteraTOTAL,0.499519596,x
n,1,n1,1390.3,ProportionEuphrasia sp,ProportionZDensityDipteraTOTAL,0.499799558,x
a,1,a1,1020.6,ProportionEuphorbia cyparissias,ProportionZDensityDipteraTOTAL,0.5,x
o,3,o3,1612.7,ProportionBellis perennis,ProportionZDensityDipteraTOTAL,0.5,x
o,3,o3,1612.7,ProportionCephalanthera longifolia,ProportionZDensityDipteraTOTAL,0.5,x
o,3,o3,1612.7,ProportionEuphorbia cyparissias,ProportionZDensityDipteraTOTAL,0.5,x
o,3,o3,1612.7,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.5,x
o,3,o3,1612.7,ProportionNeottia ovata,ProportionZDensityDipteraTOTAL,0.5,x
o,3,o3,1612.7,ProportionOrchis mascula,ProportionZDensityDipteraTOTAL,0.5,x
o,3,o3,1612.7,ProportionTrifolium badium,ProportionZDensityDipteraTOTAL,0.5,x
o,3,o3,1612.7,ProportionTrolleis europaeus,ProportionZDensityDipteraTOTAL,0.5,x
o,3,o3,1612.7,ProportionVaccinium vitis-idaea,ProportionZDensityDipteraTOTAL,0.5,x
o,3,o3,1612.7,ProportionVeronica chamaedris,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionAjuga reptans,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionAnthyllis vulneraria,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionArnica montana,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionAster bellidiastrum,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionCephalanthera longifolia,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionOphrus insectifera,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionOrchis mascula,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionPhyteuma orbiculare,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionSanguisorba minor,ProportionZDensityDipteraTOTAL,0.5,x
o,4,o4,1576.2,ProportionTragopodon pratensis,ProportionZDensityDipteraTOTAL,0.5,x
a,2,a2,984.9,ProportionThesium sp#,ProportionZDensityDipteraTOTAL,0.5,x
a,3,a3,949.8,ProportionCerastium sp#,ProportionZDensityDipteraTOTAL,0.5,x
a,3,a3,949.8,ProportionUrtica dioica,ProportionZDensityDipteraTOTAL,0.5,x
a,4,a4,1002.8,ProportionBellis perennis,ProportionZDensityDipteraTOTAL,0.5,x
a,4,a4,1002.8,ProportionPolygala vulgaris,ProportionZDensityDipteraTOTAL,0.5,x
a,4,a4,1002.8,ProportionRhinanthus minor,ProportionZDensityDipteraTOTAL,0.5,x
a,4,a4,1002.8,ProportionVeronica chamaedris,ProportionZDensityDipteraTOTAL,0.5,x
a,4,a4,1002.8,ProportionVincetoxicum hirundinaria,ProportionZDensityDipteraTOTAL,0.5,x
i,1,i1,766.3,ProportionArabis/Arabidopsis,ProportionZDensityDipteraTOTAL,0.5,x
i,1,i1,766.3,ProportionHieracium pilosella,ProportionZDensityDipteraTOTAL,0.5,x
i,1,i1,766.3,ProportionOphrus apifera,ProportionZDensityDipteraTOTAL,0.5,x
i,1,i1,766.3,ProportionSaponaria ocymoides?,ProportionZDensityDipteraTOTAL,0.5,x
i,2,i2,737.4,ProportionCarum carvi,ProportionZDensityDipteraTOTAL,0.5,x
i,2,i2,737.4,ProportionGentiana verna,ProportionZDensityDipteraTOTAL,0.5,x
i,2,i2,737.4,ProportionPlatanthera chlorantha,ProportionZDensityDipteraTOTAL,0.5,x
i,2,i2,737.4,ProportionPolygala comosa,ProportionZDensityDipteraTOTAL,0.5,x
i,3,i3,711.5,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.5,x
i,3,i3,711.5,ProportionPrimula veris,ProportionZDensityDipteraTOTAL,0.5,x
i,3,i3,711.5,ProportionVeronica sp#,ProportionZDensityDipteraTOTAL,0.5,x
i,4,i4,702.4,ProportionArabis/Arabidopsis,ProportionZDensityDipteraTOTAL,0.5,x
i,4,i4,702.4,ProportionHieracium pilosella,ProportionZDensityDipteraTOTAL,0.5,x
i,4,i4,702.4,ProportionSanguisorba minor,ProportionZDensityDipteraTOTAL,0.5,x
i,4,i4,702.4,ProportionSisymbrium officinale,ProportionZDensityDipteraTOTAL,0.5,x
i,4,i4,702.4,ProportionVeronica sp#,ProportionZDensityDipteraTOTAL,0.5,x
i,5,i5,684.5,ProportionLotus maritimus,ProportionZDensityDipteraTOTAL,0.5,x
i,5,i5,684.5,ProportionMedicago minima,ProportionZDensityDipteraTOTAL,0.5,x
i,6,i6,702.2,ProportionAnacamptis pyramidalis,ProportionZDensityDipteraTOTAL,0.5,x
i,6,i6,702.2,ProportionLigustrum vulgare,ProportionZDensityDipteraTOTAL,0.5,x
i,6,i6,702.2,ProportionViola sp#,ProportionZDensityDipteraTOTAL,0.5,x
i,7,i7,648.5,ProportionGeranium sp#,ProportionZDensityDipteraTOTAL,0.5,x
i,7,i7,648.5,ProportionPlatanthera chlorantha,ProportionZDensityDipteraTOTAL,0.5,x
i,7,i7,648.5,ProportionVincetoxicum hirundinaria,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionAjuga pyramidalis,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionAjuga reptans,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionCephalanthera longifolia,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionEuphorbia cyparissias,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionFragaria sp#,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionGalium sp#,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionMaianthemum bifolium,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionNeottia ovata,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.5,x
n,1,n1,1390.3,ProportionVeronica chamaedris,ProportionZDensityDipteraTOTAL,0.5,x
n,2,n2,1405.5,ProportionAjuga reptans,ProportionZDensityDipteraTOTAL,0.5,x
n,2,n2,1405.5,ProportionEuphorbia cyparissias,ProportionZDensityDipteraTOTAL,0.5,x
n,2,n2,1405.5,ProportionFragaria sp#,ProportionZDensityDipteraTOTAL,0.5,x
n,2,n2,1405.5,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.5,x
n,2,n2,1405.5,ProportionLeucanthemum vulgare,ProportionZDensityDipteraTOTAL,0.5,x
n,2,n2,1405.5,ProportionMyosotes sp#,ProportionZDensityDipteraTOTAL,0.5,x
n,2,n2,1405.5,ProportionNeottia ovata,ProportionZDensityDipteraTOTAL,0.5,x
n,3,n3,1407.7,ProportionAjuga reptans,ProportionZDensityDipteraTOTAL,0.5,x
n,3,n3,1407.7,ProportionBistorta vivipara,ProportionZDensityDipteraTOTAL,0.5,x
n,3,n3,1407.7,ProportionFragaria sp#,ProportionZDensityDipteraTOTAL,0.5,x
n,3,n3,1407.7,ProportionMyosotes sp#,ProportionZDensityDipteraTOTAL,0.5,x
n,3,n3,1407.7,ProportionPolygala alpestris,ProportionZDensityDipteraTOTAL,0.5,x
n,3,n3,1407.7,ProportionRumex sp#,ProportionZDensityDipteraTOTAL,0.5,x
n,3,n3,1407.7,ProportionTrolleis europaeus,ProportionZDensityDipteraTOTAL,0.5,x
n,3,n3,1407.7,ProportionUrtica dioica,ProportionZDensityDipteraTOTAL,0.5,x
n,4,n4,1420,ProportionAjuga reptans,ProportionZDensityDipteraTOTAL,0.5,x
n,4,n4,1420,ProportionGymnadenia conopsea,ProportionZDensityDipteraTOTAL,0.5,x
n,4,n4,1420,ProportionMyosotes sp#,ProportionZDensityDipteraTOTAL,0.5,x
n,4,n4,1420,ProportionPhyteuma orbiculare,ProportionZDensityDipteraTOTAL,0.5,x
n,4,n4,1420,ProportionPolygala alpestris,ProportionZDensityDipteraTOTAL,0.5,x
n,5,n5,1398.6,ProportionAjuga reptans,ProportionZDensityDipteraTOTAL,0.5,x
n,5,n5,1398.6,ProportionFragaria sp#,ProportionZDensityDipteraTOTAL,0.5,x
n,5,n5,1398.6,ProportionGentiana verna,ProportionZDensityDipteraTOTAL,0.5,x
n,5,n5,1398.6,ProportionGymnadenia conopsea,ProportionZDensityDipteraTOTAL,0.5,x
n,5,n5,1398.6,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.5,x
n,5,n5,1398.6,ProportionNeottia ovata,ProportionZDensityDipteraTOTAL,0.5,x
n,5,n5,1398.6,ProportionPhyteuma orbiculare,ProportionZDensityDipteraTOTAL,0.5,x
n,5,n5,1398.6,ProportionPolygala alpestris,ProportionZDensityDipteraTOTAL,0.5,x
n,5,n5,1398.6,ProportionPolygala comosa,ProportionZDensityDipteraTOTAL,0.5,x
n,5,n5,1398.6,ProportionSaponaria ocymoides?,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionAjuga reptans,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionAnemone narcissiflora,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionAnthyllis vulneraria,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionApiaceae sp#,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionArabis/Arabidopsis,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionAster bellidiastrum,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionEuphorbia cyparissias,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionFragaria sp#,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionGalium verum,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionGlobularia nudicaulis,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionGymnadenia conopsea,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionLathyrus sp#,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionMyosotes sp#,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionPolygala comosa,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionPolygala vulgaris,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionSilene dioica,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionTrolleis europaeus,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionUrtica dioica,ProportionZDensityDipteraTOTAL,0.5,x
u,1,u1,1745.8,ProportionViola sp#,ProportionZDensityDipteraTOTAL,0.5,x
u,2,u2,1749.2,ProportionAjuga reptans,ProportionZDensityDipteraTOTAL,0.5,x
u,2,u2,1749.2,ProportionCoeglossum viride,ProportionZDensityDipteraTOTAL,0.5,x
u,2,u2,1749.2,ProportionEuphorbia cyparissias,ProportionZDensityDipteraTOTAL,0.5,x
u,2,u2,1749.2,ProportionGalium verum,ProportionZDensityDipteraTOTAL,0.5,x
u,2,u2,1749.2,ProportionGymnadenia conopsea,ProportionZDensityDipteraTOTAL,0.5,x
u,2,u2,1749.2,ProportionHippocrepis comosa,ProportionZDensityDipteraTOTAL,0.5,x
u,2,u2,1749.2,ProportionPolygala vulgaris,ProportionZDensityDipteraTOTAL,0.5,x
u,2,u2,1749.2,ProportionPotentilla sp#,ProportionZDensityDipteraTOTAL,0.5,x
u,2,u2,1749.2,ProportionTaraxacum sp#,ProportionZDensityDipteraTOTAL,0.5,x
