Meadow,Site,MS,Elevation,Species1,Species2,Schoener,OverallVsPlants
a,4,a4,1002.8,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.517106957,x
i,5,i5,684.5,ProportionStachys officinalis,ProportionZInsectDensity,0.517727051,x
a,4,a4,1002.8,ProportionVeronica teucrium,ProportionZInsectDensity,0.519230769,x
n,1,n1,1390.3,ProportionBellis perennis,ProportionZInsectDensity,0.519230769,x
a,4,a4,1002.8,ProportionPlantago lanceolata,ProportionZInsectDensity,0.519389005,x
i,3,i3,711.5,ProportionLotus corniculatus,ProportionZInsectDensity,0.519601749,x
a,5,a5,1001,ProportionHieracium pilosella,ProportionZInsectDensity,0.520357498,x
i,3,i3,711.5,ProportionThymus sp#,ProportionZInsectDensity,0.520489273,x
u,1,u1,1745.8,ProportionHieracium pilosella,ProportionZInsectDensity,0.521615825,x
i,2,i2,737.4,ProportionCrepis/Hieracium/Leontodon,ProportionZInsectDensity,0.522096485,x
a,4,a4,1002.8,ProportionCarduus nutans,ProportionZInsectDensity,0.522425794,x
a,6,a6,981.9,ProportionPolygala comosa,ProportionZInsectDensity,0.523156733,x
a,3,a3,949.8,ProportionHieracium pilosella,ProportionZInsectDensity,0.523809524,x
a,4,a4,1002.8,ProportionGentiana verna,ProportionZInsectDensity,0.523809524,x
i,3,i3,711.5,ProportionHieracium pilosella,ProportionZInsectDensity,0.523809524,x
n,1,n1,1390.3,ProportionGeranium sylvaticum,ProportionZInsectDensity,0.523809524,x
n,3,n3,1407.7,ProportionPhyteuma orbiculare,ProportionZInsectDensity,0.523809524,x
n,4,n4,1420,ProportionGalium verum,ProportionZInsectDensity,0.523809524,x
o,4,o4,1576.2,ProportionVeronica chamaedris,ProportionZInsectDensity,0.523809524,x
a,6,a6,981.9,ProportionGlobularia nudicaulis,ProportionZInsectDensity,0.524124882,x
u,2,u2,1749.2,ProportionHypericum sp#,ProportionZInsectDensity,0.524714061,x
a,5,a5,1001,ProportionCirsium acaule,ProportionZInsectDensity,0.525669153,x
a,4,a4,1002.8,ProportionUrtica dioica,ProportionZInsectDensity,0.526237454,x
a,6,a6,981.9,ProportionGentiana verna,ProportionZInsectDensity,0.526490066,x
i,3,i3,711.5,ProportionTrifolium pratense,ProportionZInsectDensity,0.52698772,x
n,3,n3,1407.7,ProportionArenaria/Linum ym#,ProportionZInsectDensity,0.527128448,x
i,4,i4,702.4,ProportionCentaurea sp#,ProportionZInsectDensity,0.527302112,x
o,4,o4,1576.2,ProportionAcinos alpinus,ProportionZInsectDensity,0.527619329,x
i,5,i5,684.5,ProportionCampanula sp#,ProportionZInsectDensity,0.527667233,x
o,3,o3,1612.7,ProportionPhyteuma orbiculare,ProportionZInsectDensity,0.527895053,x
i,2,i2,737.4,ProportionCentaurea sp#,ProportionZInsectDensity,0.528123618,x
u,2,u2,1749.2,ProportionHieracium pilosella,ProportionZInsectDensity,0.528301887,x
u,2,u2,1749.2,ProportionMyosotes sp#,ProportionZInsectDensity,0.528301887,x
i,7,i7,648.5,ProportionLotus corniculatus,ProportionZInsectDensity,0.528625235,x
a,4,a4,1002.8,ProportionSedum album,ProportionZInsectDensity,0.528705138,x
i,5,i5,684.5,ProportionTrifolium repens,ProportionZInsectDensity,0.528737597,x
o,4,o4,1576.2,ProportionPlantago media,ProportionZInsectDensity,0.528895201,x
n,3,n3,1407.7,ProportionEuphrasia sp,ProportionZInsectDensity,0.529930616,x
a,2,a2,984.9,ProportionAgrimonia eupatoria,ProportionZInsectDensity,0.530924319,x
n,2,n2,1405.5,ProportionArabis/Arabidopsis,ProportionZInsectDensity,0.531615925,x
a,6,a6,981.9,ProportionAgrimonia eupatoria,ProportionZInsectDensity,0.53192053,x
i,3,i3,711.5,ProportionCrepis/Hieracium,ProportionZInsectDensity,0.531927961,x
n,3,n3,1407.7,ProportionCarum carvi,ProportionZInsectDensity,0.531939499,x
n,5,n5,1398.6,ProportionTeurium montanum,ProportionZInsectDensity,0.532211882,x
a,1,a1,1020.6,ProportionHypericum sp#,ProportionZInsectDensity,0.532702142,x
n,3,n3,1407.7,ProportionArabis/Arabidopsis,ProportionZInsectDensity,0.53271028,x
i,7,i7,648.5,ProportionThymus sp#,ProportionZInsectDensity,0.53289874,x
i,6,i6,702.2,ProportionCarlina vulgaris,ProportionZInsectDensity,0.532937442,x
n,3,n3,1407.7,ProportionCerastium sp#,ProportionZInsectDensity,0.533841289,x
i,3,i3,711.5,ProportionPastinaca sativa,ProportionZInsectDensity,0.533886584,x
i,7,i7,648.5,ProportionTrifolium montana,ProportionZInsectDensity,0.534360555,x
a,4,a4,1002.8,ProportionMedicago lupulina,ProportionZInsectDensity,0.534680497,x
n,4,n4,1420,ProportionOnonis spinosa,ProportionZInsectDensity,0.53468472,x
n,4,n4,1420,ProportionLathyrus pratensis,ProportionZInsectDensity,0.535409781,x
i,7,i7,648.5,ProportionAnthericum ramosum,ProportionZInsectDensity,0.535564716,x
a,2,a2,984.9,ProportionPlantago lanceolata,ProportionZInsectDensity,0.535700637,x
i,4,i4,702.4,ProportionTrifolium pratense,ProportionZInsectDensity,0.535935238,x
i,3,i3,711.5,ProportionPeucedanum sp#,ProportionZInsectDensity,0.535949746,x
i,3,i3,711.5,ProportionOnonis spinosa,ProportionZInsectDensity,0.53599859,x
i,1,i1,766.3,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.536153817,x
n,1,n1,1390.3,ProportionArabis/Arabidopsis,ProportionZInsectDensity,0.537222064,x
i,7,i7,648.5,ProportionMedicago sativa,ProportionZInsectDensity,0.537288136,x
i,5,i5,684.5,ProportionAchillea millefolium,ProportionZInsectDensity,0.537372427,x
a,3,a3,949.8,ProportionPeucedanum sp#,ProportionZInsectDensity,0.537415756,x
i,5,i5,684.5,ProportionDianthus sp#,ProportionZInsectDensity,0.537668687,x
a,2,a2,984.9,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.53823495,x
u,1,u1,1745.8,ProportionRhinanthus minor,ProportionZInsectDensity,0.538872134,x
a,4,a4,1002.8,ProportionGeranium pusillum,ProportionZInsectDensity,0.539185023,x
i,7,i7,648.5,ProportionGalium verum,ProportionZInsectDensity,0.539951574,x
n,4,n4,1420,ProportionUrtica dioica,ProportionZInsectDensity,0.540163817,x
a,6,a6,981.9,ProportionHypericum sp#,ProportionZInsectDensity,0.54046586,x
i,3,i3,711.5,ProportionKnautia/ Scabiosa,ProportionZInsectDensity,0.540785514,x
n,1,n1,1390.3,ProportionRanunculus sp#,ProportionZInsectDensity,0.540948565,x
o,4,o4,1576.2,ProportionGalium verum,ProportionZInsectDensity,0.541062088,x
i,3,i3,711.5,ProportionTrifolium montana,ProportionZInsectDensity,0.541308235,x
i,4,i4,702.4,ProportionPlantago lanceolata,ProportionZInsectDensity,0.541584065,x
n,1,n1,1390.3,ProportionAcinos alpinus,ProportionZInsectDensity,0.542329103,x
a,5,a5,1001,ProportionCentaurea sp#,ProportionZInsectDensity,0.542376834,x
i,5,i5,684.5,ProportionEuphrasia sp,ProportionZInsectDensity,0.542465587,x
i,4,i4,702.4,ProportionGalium verum,ProportionZInsectDensity,0.542748356,x
i,5,i5,684.5,ProportionTrifolium pratense,ProportionZInsectDensity,0.543532556,x
i,6,i6,702.2,ProportionBuphthalmum salicifolium,ProportionZInsectDensity,0.544076578,x
a,5,a5,1001,ProportionRanunculus sp#,ProportionZInsectDensity,0.544280942,x
i,5,i5,684.5,ProportionCampanula glomerata,ProportionZInsectDensity,0.544496515,x
i,5,i5,684.5,ProportionAgrimonia eupatoria,ProportionZInsectDensity,0.544591437,x
n,4,n4,1420,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.545110372,x
i,6,i6,702.2,ProportionHieracium pilosella,ProportionZInsectDensity,0.545454545,x
n,2,n2,1405.5,ProportionPhyteuma orbiculare,ProportionZInsectDensity,0.545454545,x
n,3,n3,1407.7,ProportionBellis perennis,ProportionZInsectDensity,0.545454545,x
o,4,o4,1576.2,ProportionGeranium sylvaticum,ProportionZInsectDensity,0.54643017,x
a,1,a1,1020.6,ProportionSalvia pratensis,ProportionZInsectDensity,0.546561899,x
a,5,a5,1001,ProportionTrifolium pratense,ProportionZInsectDensity,0.546655232,x
a,5,a5,1001,ProportionVicia cracca,ProportionZInsectDensity,0.547914598,x
a,2,a2,984.9,ProportionAnthericum ramosum,ProportionZInsectDensity,0.548680892,x
i,7,i7,648.5,ProportionTeurium montanum,ProportionZInsectDensity,0.548970944,x
a,4,a4,1002.8,ProportionLotus corniculatus,ProportionZInsectDensity,0.550240943,x
a,1,a1,1020.6,ProportionPotentilla erecta,ProportionZInsectDensity,0.55052464,x
i,1,i1,766.3,ProportionAnthericum ramosum,ProportionZInsectDensity,0.550546922,x
i,5,i5,684.5,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.551171445,x
i,2,i2,737.4,ProportionHippocrepis comosa,ProportionZInsectDensity,0.551616389,x
o,4,o4,1576.2,ProportionThesium sp#,ProportionZInsectDensity,0.55178663,x
a,4,a4,1002.8,ProportionCirsium arvense,ProportionZInsectDensity,0.553071594,x
n,3,n3,1407.7,ProportionPotentilla erecta,ProportionZInsectDensity,0.553177112,x
i,1,i1,766.3,ProportionPotentilla sp#,ProportionZInsectDensity,0.553282776,x
i,4,i4,702.4,ProportionCrepis sp#,ProportionZInsectDensity,0.553478712,x
o,3,o3,1612.7,ProportionAnthyllis vulneraria,ProportionZInsectDensity,0.553571429,x
n,2,n2,1405.5,ProportionCampanula sp#,ProportionZInsectDensity,0.553755919,x
n,1,n1,1390.3,ProportionGalium verum,ProportionZInsectDensity,0.553858597,x
i,5,i5,684.5,ProportionAster amellus,ProportionZInsectDensity,0.553880905,x
n,4,n4,1420,ProportionCampanula sp#,ProportionZInsectDensity,0.554090863,x
i,7,i7,648.5,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.554171784,x
a,5,a5,1001,ProportionSedum album,ProportionZInsectDensity,0.554963084,x
a,1,a1,1020.6,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.555100752,x
n,5,n5,1398.6,ProportionBellis perennis,ProportionZInsectDensity,0.555555556,x
u,1,u1,1745.8,ProportionRumex sp#,ProportionZInsectDensity,0.555956484,x
a,2,a2,984.9,ProportionTrifolium montana,ProportionZInsectDensity,0.55615613,x
u,2,u2,1749.2,ProportionBistorta vivipara,ProportionZInsectDensity,0.556451613,x
a,3,a3,949.8,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.556472229,x
n,5,n5,1398.6,ProportionHelianthemum nummularium,ProportionZInsectDensity,0.55653149,x
o,3,o3,1612.7,ProportionCrepis/Hieracium/Leontodon,ProportionZInsectDensity,0.557143952,x
o,4,o4,1576.2,ProportionBistorta vivipara,ProportionZInsectDensity,0.557263598,x
n,1,n1,1390.3,ProportionAlchemilla sp#,ProportionZInsectDensity,0.557522124,x
n,1,n1,1390.3,ProportionPolygala alpestris,ProportionZInsectDensity,0.557522124,x
a,2,a2,984.9,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.557724369,x
a,5,a5,1001,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.558023414,x
a,4,a4,1002.8,ProportionTrifolium pratense,ProportionZInsectDensity,0.558031695,x
u,1,u1,1745.8,ProportionCampanula sp#,ProportionZInsectDensity,0.55835112,x
n,2,n2,1405.5,ProportionBellis perennis,ProportionZInsectDensity,0.558823529,x
o,3,o3,1612.7,ProportionGalium verum,ProportionZInsectDensity,0.558823529,x
a,3,a3,949.8,ProportionCirsium acaule,ProportionZInsectDensity,0.559381186,x
i,4,i4,702.4,ProportionCarum carvi,ProportionZInsectDensity,0.559709242,x
n,5,n5,1398.6,ProportionCentaurea sp#,ProportionZInsectDensity,0.559727309,x
o,4,o4,1576.2,ProportionSilene vulgaris,ProportionZInsectDensity,0.559872533,x
a,6,a6,981.9,ProportionCrepis/Hieracium/Leontodon,ProportionZInsectDensity,0.560069882,x
i,6,i6,702.2,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.560621166,x
o,3,o3,1612.7,ProportionPolygala alpestris,ProportionZInsectDensity,0.560862086,x
a,1,a1,1020.6,ProportionCrepis/Hieracium,ProportionZInsectDensity,0.561460007,x
a,6,a6,981.9,ProportionTrifolium repens,ProportionZInsectDensity,0.561461226,x
i,2,i2,737.4,ProportionTrifolium pratense,ProportionZInsectDensity,0.562141976,x
a,6,a6,981.9,ProportionHelianthemum nummularium,ProportionZInsectDensity,0.562328337,x
i,6,i6,702.2,ProportionPastinaca sativa,ProportionZInsectDensity,0.562955422,x
a,5,a5,1001,ProportionHypericum sp#,ProportionZInsectDensity,0.563440532,x
i,5,i5,684.5,ProportionHelianthemum nummularium,ProportionZInsectDensity,0.565178191,x
o,3,o3,1612.7,ProportionCoeglossum viride,ProportionZInsectDensity,0.565217391,x
n,4,n4,1420,ProportionHypericum sp#,ProportionZInsectDensity,0.565224889,x
n,5,n5,1398.6,ProportionSalvia pratensis,ProportionZInsectDensity,0.5652319,x
a,3,a3,949.8,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.565449745,x
i,7,i7,648.5,ProportionCampanula sp#,ProportionZInsectDensity,0.565526063,x
a,3,a3,949.8,ProportionAgrimonia eupatoria,ProportionZInsectDensity,0.565654705,x
i,5,i5,684.5,ProportionCentaurea sp#,ProportionZInsectDensity,0.566036722,x
i,5,i5,684.5,ProportionCerastium sp#,ProportionZInsectDensity,0.566296592,x
n,1,n1,1390.3,ProportionThymus sp#,ProportionZInsectDensity,0.566994215,x
a,4,a4,1002.8,ProportionRanunculus sp#,ProportionZInsectDensity,0.56709336,x
n,4,n4,1420,ProportionCentaurea sp#,ProportionZInsectDensity,0.567916813,x
n,3,n3,1407.7,ProportionHelianthemum nummularium,ProportionZInsectDensity,0.568160219,x
i,5,i5,684.5,ProportionDaucus carota,ProportionZInsectDensity,0.568593533,x
n,2,n2,1405.5,ProportionEuphrasia sp,ProportionZInsectDensity,0.569006313,x
n,3,n3,1407.7,ProportionGeranium sylvaticum,ProportionZInsectDensity,0.569255223,x
n,2,n2,1405.5,ProportionCentaurea sp#,ProportionZInsectDensity,0.569268996,x
a,5,a5,1001,ProportionCampanula glomerata,ProportionZInsectDensity,0.569779834,x
o,3,o3,1612.7,ProportionPrunella sp#,ProportionZInsectDensity,0.569983243,x
i,4,i4,702.4,ProportionLotus corniculatus,ProportionZInsectDensity,0.570813273,x
u,1,u1,1745.8,ProportionGeranium sylvaticum,ProportionZInsectDensity,0.571078431,x
i,4,i4,702.4,ProportionCichorium intybus,ProportionZInsectDensity,0.571261682,x
o,4,o4,1576.2,ProportionBellis perennis,ProportionZInsectDensity,0.571465208,x
a,1,a1,1020.6,ProportionCentaurea sp#,ProportionZInsectDensity,0.571914249,x
n,3,n3,1407.7,ProportionPotentilla sp#,ProportionZInsectDensity,0.572025431,x
i,4,i4,702.4,ProportionMedicago sativa,ProportionZInsectDensity,0.57204519,x
n,2,n2,1405.5,ProportionHelianthemum nummularium,ProportionZInsectDensity,0.572412521,x
n,2,n2,1405.5,ProportionTrifolium pratense,ProportionZInsectDensity,0.572429711,x
a,1,a1,1020.6,ProportionGentiana verna,ProportionZInsectDensity,0.572677353,x
o,3,o3,1612.7,ProportionFragaria sp#,ProportionZInsectDensity,0.573007835,x
u,1,u1,1745.8,ProportionHelianthemum nummularium,ProportionZInsectDensity,0.573635353,x
a,5,a5,1001,ProportionSolanum dulgamara,ProportionZInsectDensity,0.574215062,x
i,4,i4,702.4,ProportionLathyrus pratensis,ProportionZInsectDensity,0.574247144,x
i,1,i1,766.3,ProportionKnautia/ Scabiosa,ProportionZInsectDensity,0.574456634,x
u,2,u2,1749.2,ProportionCerastium sp#,ProportionZInsectDensity,0.575491036,x
n,2,n2,1405.5,ProportionCarduus defloratus,ProportionZInsectDensity,0.57549505,x
i,5,i5,684.5,ProportionMedicago sativa,ProportionZInsectDensity,0.575760279,x
o,3,o3,1612.7,ProportionGeranium sylvaticum,ProportionZInsectDensity,0.575907647,x
n,4,n4,1420,ProportionTrifolium repens,ProportionZInsectDensity,0.576082179,x
o,4,o4,1576.2,ProportionGymnadenia conopsea,ProportionZInsectDensity,0.576104177,x
i,2,i2,737.4,ProportionEuphrasia sp,ProportionZInsectDensity,0.576470528,x
n,4,n4,1420,ProportionPotentilla erecta,ProportionZInsectDensity,0.576541633,x
i,2,i2,737.4,ProportionLotus corniculatus,ProportionZInsectDensity,0.578278404,x
u,1,u1,1745.8,ProportionRanunculus sp#,ProportionZInsectDensity,0.578546846,x
a,3,a3,949.8,ProportionStachys officinalis,ProportionZInsectDensity,0.578603798,x
i,4,i4,702.4,ProportionArenaria/Linum ym#,ProportionZInsectDensity,0.578618366,x
i,6,i6,702.2,ProportionAnthericum ramosum,ProportionZInsectDensity,0.57960409,x
a,6,a6,981.9,ProportionCirsium acaule,ProportionZInsectDensity,0.58006274,x
a,1,a1,1020.6,ProportionAgrimonia eupatoria,ProportionZInsectDensity,0.580105041,x
i,2,i2,737.4,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.580146764,x
u,1,u1,1745.8,ProportionArenaria/Linum ym#,ProportionZInsectDensity,0.580956484,x
a,1,a1,1020.6,ProportionPastinaca sativa,ProportionZInsectDensity,0.58126651,x
a,2,a2,984.9,ProportionEuphrasia sp,ProportionZInsectDensity,0.581377987,x
u,2,u2,1749.2,ProportionCarduus defloratus,ProportionZInsectDensity,0.582399021,x
o,3,o3,1612.7,ProportionBistorta vivipara,ProportionZInsectDensity,0.583333333,x
o,3,o3,1612.7,ProportionPimpinella sp#,ProportionZInsectDensity,0.583333333,x
i,4,i4,702.4,ProportionOnonis spinosa,ProportionZInsectDensity,0.583489097,x
n,5,n5,1398.6,ProportionPlantago lanceolata,ProportionZInsectDensity,0.583815196,x
n,1,n1,1390.3,ProportionEchium vulgare,ProportionZInsectDensity,0.58419304,x
o,3,o3,1612.7,ProportionClinopodium vulgare,ProportionZInsectDensity,0.584649356,x
n,5,n5,1398.6,ProportionCirsium arvense,ProportionZInsectDensity,0.584779727,x
i,7,i7,648.5,ProportionHieracium pilosella,ProportionZInsectDensity,0.585062241,x
i,1,i1,766.3,ProportionRanunculus sp#,ProportionZInsectDensity,0.585541959,x
n,4,n4,1420,ProportionTrifolium pratense,ProportionZInsectDensity,0.585601685,x
i,4,i4,702.4,ProportionGeranium pusillum,ProportionZInsectDensity,0.585669782,x
n,1,n1,1390.3,ProportionCampanula sp#,ProportionZInsectDensity,0.585749981,x
n,1,n1,1390.3,ProportionBistorta vivipara,ProportionZInsectDensity,0.587179243,x
i,5,i5,684.5,ProportionMedicago lupulina,ProportionZInsectDensity,0.587745545,x
u,2,u2,1749.2,ProportionAchillea millefolium,ProportionZInsectDensity,0.587773023,x
a,4,a4,1002.8,ProportionSilene vulgaris,ProportionZInsectDensity,0.588302187,x
n,3,n3,1407.7,ProportionEchium vulgare,ProportionZInsectDensity,0.588613526,x
n,2,n2,1405.5,ProportionPotentilla erecta,ProportionZInsectDensity,0.589383938,x
n,3,n3,1407.7,ProportionPlantago media,ProportionZInsectDensity,0.589610618,x
u,1,u1,1745.8,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.590047393,x
a,3,a3,949.8,ProportionAsperula cynanchica,ProportionZInsectDensity,0.59006488,x
u,1,u1,1745.8,ProportionCrepis/Hieracium/Leontodon,ProportionZInsectDensity,0.590374244,x
i,7,i7,648.5,ProportionDaucus carota,ProportionZInsectDensity,0.590515687,x
a,3,a3,949.8,ProportionSalvia pratensis,ProportionZInsectDensity,0.590672363,x
a,3,a3,949.8,ProportionMedicago sativa,ProportionZInsectDensity,0.591574589,x
u,2,u2,1749.2,ProportionTrifolium repens,ProportionZInsectDensity,0.592430596,x
u,1,u1,1745.8,ProportionSilene vulgaris,ProportionZInsectDensity,0.59272119,x
n,3,n3,1407.7,ProportionCirsium arvense,ProportionZInsectDensity,0.592794429,x
a,1,a1,1020.6,ProportionCrepis/Hieracium/Leontodon,ProportionZInsectDensity,0.592888579,x
n,2,n2,1405.5,ProportionArenaria/Linum ym#,ProportionZInsectDensity,0.592983211,x
u,2,u2,1749.2,ProportionCarum carvi,ProportionZInsectDensity,0.593901185,x
n,4,n4,1420,ProportionOrchis ustulata,ProportionZInsectDensity,0.594042886,x
a,1,a1,1020.6,ProportionCirsium acaule,ProportionZInsectDensity,0.594307689,x
o,3,o3,1612.7,ProportionTrifolium montana,ProportionZInsectDensity,0.59446178,x
a,4,a4,1002.8,ProportionCentaurea sp#,ProportionZInsectDensity,0.594498003,x
a,3,a3,949.8,ProportionSilene vulgaris,ProportionZInsectDensity,0.594662638,x
a,6,a6,981.9,ProportionLotus corniculatus,ProportionZInsectDensity,0.594742123,x
a,5,a5,1001,ProportionParnassia palustris,ProportionZInsectDensity,0.596160212,x
a,3,a3,949.8,ProportionThymus sp#,ProportionZInsectDensity,0.596188356,x
i,4,i4,702.4,ProportionCrepis/Hieracium,ProportionZInsectDensity,0.596261682,x
n,1,n1,1390.3,ProportionClinopodium vulgare,ProportionZInsectDensity,0.596674536,x
n,2,n2,1405.5,ProportionAcinos alpinus,ProportionZInsectDensity,0.59688826,x
a,1,a1,1020.6,ProportionPimpinella sp#,ProportionZInsectDensity,0.597245595,x
i,3,i3,711.5,ProportionHypericum sp#,ProportionZInsectDensity,0.597954454,x
n,3,n3,1407.7,ProportionCentaurea sp#,ProportionZInsectDensity,0.598420542,x
n,5,n5,1398.6,ProportionAcinos alpinus,ProportionZInsectDensity,0.599826181,x
n,2,n2,1405.5,ProportionBistorta vivipara,ProportionZInsectDensity,0.600152323,x
a,3,a3,949.8,ProportionBuphthalmum salicifolium,ProportionZInsectDensity,0.600473585,x
i,2,i2,737.4,ProportionCampanula sp#,ProportionZInsectDensity,0.601461565,x
n,1,n1,1390.3,ProportionPlantago lanceolata,ProportionZInsectDensity,0.60184534,x
a,4,a4,1002.8,ProportionSalvia pratensis,ProportionZInsectDensity,0.602203569,x
n,1,n1,1390.3,ProportionPlantago media,ProportionZInsectDensity,0.602660079,x
a,6,a6,981.9,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.602695259,x
a,5,a5,1001,ProportionLeucanthemum vulgare,ProportionZInsectDensity,0.603032295,x
n,2,n2,1405.5,ProportionHypericum sp#,ProportionZInsectDensity,0.603410341,x
a,1,a1,1020.6,ProportionAsperula cynanchica,ProportionZInsectDensity,0.60349142,x
a,1,a1,1020.6,ProportionCampanula sp#,ProportionZInsectDensity,0.604882724,x
i,2,i2,737.4,ProportionRanunculus sp#,ProportionZInsectDensity,0.60504523,x
i,3,i3,711.5,ProportionPrunella sp#,ProportionZInsectDensity,0.605211072,x
n,4,n4,1420,ProportionHelianthemum nummularium,ProportionZInsectDensity,0.605625824,x
i,6,i6,702.2,ProportionDaucus carota,ProportionZInsectDensity,0.606294564,x
u,2,u2,1749.2,ProportionPlantago lanceolata,ProportionZInsectDensity,0.606946726,x
a,4,a4,1002.8,ProportionHieracium pilosella,ProportionZInsectDensity,0.607378569,x
a,1,a1,1020.6,ProportionAcinos alpinus,ProportionZInsectDensity,0.607532223,x
a,4,a4,1002.8,ProportionVeronica spicata,ProportionZInsectDensity,0.607754723,x
u,2,u2,1749.2,ProportionGeranium sylvaticum,ProportionZInsectDensity,0.607843137,x
n,4,n4,1420,ProportionPlantago media,ProportionZInsectDensity,0.60790614,x
o,4,o4,1576.2,ProportionPlantago lanceolata,ProportionZInsectDensity,0.608059443,x
n,1,n1,1390.3,ProportionTrifolium repens,ProportionZInsectDensity,0.608135204,x
i,4,i4,702.4,ProportionSalvia pratensis,ProportionZInsectDensity,0.608312438,x
a,4,a4,1002.8,ProportionCirsium acaule,ProportionZInsectDensity,0.608372628,x
n,3,n3,1407.7,ProportionTrifolium pratense,ProportionZInsectDensity,0.611616934,x
o,4,o4,1576.2,ProportionAlchemilla sp#,ProportionZInsectDensity,0.612020025,x
n,5,n5,1398.6,ProportionArenaria/Linum ym#,ProportionZInsectDensity,0.612802529,x
o,3,o3,1612.7,ProportionTrifolium repens,ProportionZInsectDensity,0.613200851,x
n,4,n4,1420,ProportionCirsium acaule,ProportionZInsectDensity,0.613414855,x
a,6,a6,981.9,ProportionThymus sp#,ProportionZInsectDensity,0.613438863,x
i,1,i1,766.3,ProportionBuphthalmum salicifolium,ProportionZInsectDensity,0.614228138,x
a,6,a6,981.9,ProportionVeronica spicata,ProportionZInsectDensity,0.614952171,x
i,7,i7,648.5,ProportionCentaurea sp#,ProportionZInsectDensity,0.615430151,x
a,3,a3,949.8,ProportionSedum album,ProportionZInsectDensity,0.615692198,x
i,7,i7,648.5,ProportionDianthus sp#,ProportionZInsectDensity,0.615911748,x
i,2,i2,737.4,ProportionPotentilla erecta,ProportionZInsectDensity,0.616012569,x
a,3,a3,949.8,ProportionPimpinella sp#,ProportionZInsectDensity,0.616081024,x
n,5,n5,1398.6,ProportionTeucrium chamaedris,ProportionZInsectDensity,0.617037791,x
a,3,a3,949.8,ProportionDaucus carota,ProportionZInsectDensity,0.617177385,x
o,4,o4,1576.2,ProportionTrifolium repens,ProportionZInsectDensity,0.617375422,x
i,3,i3,711.5,ProportionVeronica spicata,ProportionZInsectDensity,0.617666945,x
u,1,u1,1745.8,ProportionBistorta vivipara,ProportionZInsectDensity,0.619047619,x
i,6,i6,702.2,ProportionTeurium montanum,ProportionZInsectDensity,0.620495758,x
u,2,u2,1749.2,ProportionPotentilla erecta,ProportionZInsectDensity,0.620555596,x
u,2,u2,1749.2,ProportionHelianthemum nummularium,ProportionZInsectDensity,0.621003694,x
a,6,a6,981.9,ProportionAsperula cynanchica,ProportionZInsectDensity,0.621058388,x
i,5,i5,684.5,ProportionConyza sp#,ProportionZInsectDensity,0.62117355,x
u,1,u1,1745.8,ProportionTrifolium pratense,ProportionZInsectDensity,0.621254992,x
n,2,n2,1405.5,ProportionCarum carvi,ProportionZInsectDensity,0.622232223,x
i,1,i1,766.3,ProportionAsperula cynanchica,ProportionZInsectDensity,0.622564484,x
n,4,n4,1420,ProportionPlantago lanceolata,ProportionZInsectDensity,0.622566949,x
n,2,n2,1405.5,ProportionPlantago lanceolata,ProportionZInsectDensity,0.622868153,x
n,5,n5,1398.6,ProportionTrifolium repens,ProportionZInsectDensity,0.623115364,x
o,4,o4,1576.2,ProportionCarum carvi,ProportionZInsectDensity,0.623761152,x
n,3,n3,1407.7,ProportionCirsium acaule,ProportionZInsectDensity,0.624969036,x
o,4,o4,1576.2,ProportionCarduus defloratus,ProportionZInsectDensity,0.625210337,x
i,7,i7,648.5,ProportionPimpinella sp#,ProportionZInsectDensity,0.625780553,x
i,5,i5,684.5,ProportionOnonis spinosa,ProportionZInsectDensity,0.626013634,x
i,7,i7,648.5,ProportionAsperula cynanchica,ProportionZInsectDensity,0.626847458,x
a,4,a4,1002.8,ProportionPlantago media,ProportionZInsectDensity,0.626915316,x
a,6,a6,981.9,ProportionEuphrasia sp,ProportionZInsectDensity,0.62760094,x
n,2,n2,1405.5,ProportionSedum album,ProportionZInsectDensity,0.627758559,x
n,4,n4,1420,ProportionArenaria/Linum ym#,ProportionZInsectDensity,0.627771573,x
i,6,i6,702.2,ProportionDianthus sp#,ProportionZInsectDensity,0.628015547,x
a,1,a1,1020.6,ProportionLotus corniculatus,ProportionZInsectDensity,0.628161128,x
i,4,i4,702.4,ProportionHypericum sp#,ProportionZInsectDensity,0.628764278,x
u,1,u1,1745.8,ProportionThymus sp#,ProportionZInsectDensity,0.629312236,x
a,5,a5,1001,ProportionEchium vulgare,ProportionZInsectDensity,0.629344129,x
a,6,a6,981.9,ProportionHieracium pilosella,ProportionZInsectDensity,0.629835478,x
i,5,i5,684.5,ProportionEchium vulgare,ProportionZInsectDensity,0.630230059,x
