Samplenro,Notebook,Day,Month,DOY,SDOY,Meadow,Site,MeadowSite,Totalflowers,Species,SumOfInsects2,SumOfEffort,InsectDensity,MinOfAchilleamillefolium,MinOfAcinosalpinus,MinOfAconitumnapellus,MinOfAconitumanthora,MinOfAegopodiumpodagraria,MinOfAgrimoniaeupatoria,MinOfAjugareptans,MinOfAjugapyramidalis,MinOfAlchemillasp,MinOfAlliumcarinatum,MinOfAnacamptispyramidalis,MinOfAnemonenarcissiflora,MinOfAnthericumramosum,MinOfAnthyllisvulneraria,MinOfApiaceaesp,MinOfArabis/Arabidopsis,MinOfArenaria/Linumym,MinOfArnicamontana,MinOfAsperulacynanchica,MinOfAsteramellus,MinOfAsterbellidiastrum,MinOfAtrobabelladonna,MinOfBellisperennis,MinOfBistortavivipara,MinOfBuphthalmumsalicifolium,MinOfCarumcarvi,MinOfClinopodiumvulgare,MinOfCampanulaglomerata,MinOfCampanulasp,MinOfCapsellabursa-pastoris,MinOfCarduusdefloratus,MinOfCarduusnutans,MinOfCarlinaacaulis,MinOfCarlinavulgaris,MinOfCentaureasp,MinOfCentauriumsp,MinOfCephalantheralongifolia,MinOfCerastiumsp,MinOfChenopodiumsp,MinOfCichoriumintybus,MinOfCirsiumarvense,MinOfCirsiumacaule,MinOfCoeglossumviride,MinOfConyzasp,MinOfConvolvulusarvensis,MinOfCrepissp,MinOfCrepissp2,MinOfCrepis/Hieracium,MinOfCrepis/Hieracium/Leontodon,MinOfCuscutaeuropaeae,MinOfDaucuscarota,MinOfDianthussp,MinOfEchiumvulgare,MinOfEpilobiumsp,MinOfEuphrasiasp,MinOfEuphorbiacyparissias,MinOfFragariasp,MinOfGaliumverum,MinOfGaliumsp,MinOfGentianasp,MinOfGentianaverna,MinOfGeraniumsylvaticum,MinOfGeraniumpusillum,MinOfGeraniumsanguineum?,MinOfGeraniumsp,MinOfGlobularianudicaulis,MinOfGlobulariacardiflora,MinOfGymnadeniaconopsea,MinOfHelianthemumnummularium,MinOfHieraciumpilosella,MinOfHippocrepiscomosa,MinOfHypericumsp,MinOfKnautia/Scabiosa,MinOfLamiumalbum,MinOfLathyruspratensis,MinOfLathyrussp,MinOfLeucanthemumvulgare,MinOfLigustrumvulgare,MinOfLotuscorniculatus,MinOfLotusmaritimus,MinOfMaianthemumbifolium,MinOfMalvaneglecta,MinOfMedicagolupulina,MinOfMedicagominima,MinOfMedicagosativa,MinOfMelampyrumsylvaticum,MinOfMycelismuralis,MinOfMyosotessp,MinOfNeottiaovata,MinOfOdontitesluteus,MinOfOnobrychisvicifolia,MinOfOnonisspinosa,MinOfOphrusapifera,MinOfOphrusinsectifera,MinOfOrchismascula,MinOfOrchisustulata,MinOfOriganumvulgare,MinOfParnassiapalustris,MinOfPastinacasativa,MinOfPeucedanumsp,MinOfPhyteumaorbiculare,MinOfPimpinellasp,MinOfPlantagolanceolata,MinOfPlantagomajor,MinOfPlantagomedia,MinOfPlantherabifolia,MinOfPlatantherachlorantha,MinOfPolygalaalpestris,MinOfPolygalacomosa,MinOfPolygalavulgaris,MinOfPolygonumaviculare,MinOfPotentillaerecta,MinOfPotentillasp,MinOfPrimulaveris,MinOfPrunellasp,MinOfPulsatillasp,MinOfRanunculussp,MinOfRhinanthusminor,MinOfResedalutea,MinOfRosasp,MinOfRubussp,MinOfRumexsp,MinOfSalviapratensis,MinOfSambucussp,MinOfSanguisorbaminor,MinOfSaponariaocymoides?,MinOfSedumspyellow,MinOfSedumalbum,MinOfSeneciosp,MinOfSilenedioica,MinOfSilenenutans,MinOfSilenevulgaris,MinOfSisymbriumofficinale,MinOfSolanumdulgamara,MinOfSolidagovirgaurea,MinOfSpiranthesspiralis,MinOfStachysofficinalis,MinOfStachysrecta,MinOfTaraxacumsp,MinOfTeucriumchamaedris,MinOfTeuriummontanum,MinOfThesiumsp,MinOfThymussp,MinOfTragopodonpratensis,MinOfTrifoliumcampestre,MinOfTrifoliumbadium,MinOfTrifoliummontana,MinOfTrifoliumpratense,MinOfTrifoliumrepens,MinOfTrolleiseuropaeus,MinOfUrticadioica,MinOfVacciniumvitis-idaea,MinOfValeriana,MinOfVerbenaofficinalis,MinOfVeronicachamaedris,MinOfVeronicaofficinalis,MinOfVeronicaspicata,MinOfVeronicateucrium,MinOfVeronicasp,MinOfViciacracca,MinOfViciasepium,MinOfVincetoxicumhirundinaria,MinOfViolasp,MinOfSpecies,MinOfSumOfCowfeces,MinOfSumOfBareground,MinOfSumOfRock,MinOfSumOfBryophytes,MinOfSumOfLitter,MinOfelevation,Selevation,ElevationKM,MinOfColeoptera,MinOfColeopteraBuprestidae,MinOfColeopteraCantharidae,MinOfColeopteraCerambycidae,MinOfColeopteraCetonidae,MinOfColeopteraChrysomelidae,MinOfColeopteraCleridae,MinOfColeopteraMalachiidae,MinOfColeopteraMeloidae,MinOfColeopteraMelyridae,MinOfColeopteraMordellidae,MinOfColeopteraOedemeridae,MinOfColeopteraScarabidae,MinOfColeopteraTenebrionidae,MinOfDiptera,MinOfDipteraAsilidae,MinOfDipteraBibinionidae,MinOfDipteraCalliphoridae,MinOfDipteraConopsidae,MinOfDipteraBombylidae,MinOfDipteraEmpididae,MinOfDipteraMuscidae,MinOfDipteraSarcophagidae,MinOfDipteraSyrphidae,MinOfDipteraTachinidae,MinOfDipteraTephritidae,MinOfHymenoptera,MinOfHymenopteraApidae,MinOfHymenopteraBraconidae,MinOfHymenopteraChrysidae,MinOfHymenopteraFormicidae,MinOfHymenopteraIchneumonidae,MinOfHymenopteraLeucospidae,MinOfHymenopteraPompelinidae,MinOfHymenopteraSpecidae,MinOfHymenopteraSphecidae,MinOfHymenopteraTenthredinidae,MinOfHymenopteraVespidae,MinOfRaphidioptera,InsectsPerFlower,MinOfTemperature,MinOfSumOfEffort,ColeopteraDensity,ColeopteraBuprestidaeDensity,ColeopteraCantharidaeDensity,ColeopteraCerambycidaeDensity,ColeopteraCetonidaeDensity,ColeopteraChrysomelidaeDensity,ColeopteraCleridaeDensity,ColeopteraMalachiidaeDensity,ColeopteraMeloidaeDensity,ColeopteraMelyridaeDensity,ColeopteraMordellidaeDensity,ColeopteraOedemeridaeDensity,ColeopteraScarabidaeDensity,ColeopteraTenebrionidaeDensity,DipteraDensity,DipteraAsilidaeDensity,DipteraBibinionidaeDensity,DipteraCalliphoridaeDensity,DipteraConopsidaeDensity,DipteraBombylidaeDensity,DipteraEmpididaeDensity,DipteraMuscidaeDensity,DipteraSarcophagidaeDensity,DipteraSyrphidaeDensity,DipteraTachinidaeDensity,DipteraTephritidaeDensity,HymenopteraDensity,HymenopteraApidaeDensity,HymenopteraBraconidaeDensity,HymenopteraChrysidaeDensity,HymenopteraFormicidaeDensity,HymenopteraIchneumonidaeDensity,HymenopteraLeucospidaeDensity,HymenopteraPompelinidaeDensity,HymenopteraSpecidaeDensity,HymenopteraSphecidaeDensity,HymenopteraTenthredinidaeDensity,HymenopteraVespidaeDensity,RaphidiopteraDensity
21,1,24,6,175,0.845897111,a,3,a3,1709,35,,,,10,,,,,,,,,,,,,,,5,50,,300,,,,,,,20,,30,1,,,,,,,,,10,,,,,,,,,,,10,,,,2,,,,,50,,,,,15,,,20,,,30,20,30,,,,1,,,,50,50,,,10,,,,,,,,,,,,,,,,,,,,100,,10,,,,,,,200,,,50,,300,,,40,30,,20,,,,,,,,,10,,,,,,,,,,,50,,,,150,5,10,,10,,,,,,10,,,,,,,65,0.45,5.2,0.3,0,36.7,949.8,0.866471818,0.9498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,24,6,175,0.845897111,a,2,a2,2530,22,,,,,,,,,,,,,,2,,,,,50,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,10,100,50,,,10,,5,,,,,,,,,,,2,,,,,,,200,,,,,,50,,,50,,,50,,200,,,10,,,20,,10,,,,,,,,,,,,,,,,,1,100,,,,100,,,,,,,,,,,,,,,,,50,0.55,3.8,0,0,37.3,984.9,0.898492412,0.9849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,25,6,176,0.850730809,i,3,i3,4342,27,50,225,0.222222222,20,,,,,,,,,,,,,5,,5,100,,,,,,100,,,20,,,2,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,10,,,,,,,5,,,,50,,,,,,,,1,,500,,,,,,20,,,,,,,,,,,,,,,,,,100,,40,,,,,,,50,,,1,,2000,,,7,,,30,,,,,,,,,,,,,,,,1,,,,200,,,,200,15,30,,,,,,30,,,,,,,,,45,0.05,18.6,0,0.05,10.5,711.5,0.649078436,0.7115,,,,,,2,,1,,,,2,,,,1,,,,,,23,,10,,,,7,1,,,3,,,,,,,,5.12E-05,27,225,0,0,0,0,0,0.008888889,0,0.004444444,0,0,0,0.008888889,0,0,0,0.004444444,0,0,0,0,0,0.102222222,0,0.044444444,0,0,0,0.031111111,0.004444444,0,0,0.013333333,0,0,0,0,0,0,0
24,1,25,6,176,0.850730809,i,1,i1,1637,29,35,450.09,0.077762225,20,,,,,2,,,,,,,,,,,,,600,,,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,15,,20,,,30,,50,,,,,,,30,50,5,,,,,100,,,,,,,,,,,3,,,,1,,,50,,30,,,,50,,,5,,,30,,300,,,10,30,,30,,,,,,,,,,,,,,,,,,,,,,,,100,10,,,30,,,,,,,,,,5,,,44,0.7,25.8,0,0,22.3,766.3,0.699070703,0.7663,,2,,,,4,,2,,,,3,,1,1,,,,,,,3,,3,,,,4,1,1,,6,,,3,,1,,,4.75E-05,30,450.09,0,0.004443556,0,0,0,0.008887111,0,0.004443556,0,0,0,0.006665334,0,0.002221778,0.002221778,0,0,0,0,0,0,0.006665334,0,0.006665334,0,0,0,0.008887111,0.002221778,0.002221778,0,0.013330667,0,0,0.006665334,0,0.002221778,0,0
25,1,26,6,177,0.855564507,i,4,i4,5468,29,50,100.02,0.49990002,30,,,,,,,,,,,,,2,,,500,,150,,,,30,,,100,2,,3,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,10,,,,,,,,,,200,,,1,20,,100,,,,,,20,,,,,,,,,,,,100,,30,,,,,,,,,,1,,4000,,,,,,40,,,,,,,,,1,,,,,,,10,,,,5,,,,50,1,1,,,,,,,,5,,,,,,,46,3.6,19.8,0,0.05,10.85,702.4,0.6407768,0.7024,,,,,,,,2,,,,1,,,,,1,,,,,30,,11,1,,,3,,,,1,,,,,,,,9.14E-05,28,100.02,0,0,0,0,0,0,0,0.019996001,0,0,0,0.009998,0,0,0,0,0.009998,0,0,0,0,0.299940012,0,0.109978004,0.009998,0,0,0.029994001,0,0,0,0.009998,0,0,0,0,0,0,0
26,1,26,6,177,0.855564507,i,5,i5,4798,33,50,166.7,0.299940012,1,,,,,,,,,,,,,3,,40,100,,800,,,,20,,,20,,,15,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,30,,,,,,,5,150,,,50,15,20,,,,,,,,40,,,,20,,20,,,,,,,,,,,,,,,,,,100,,30,,,,1,,,,1,,10,,2500,,,20,,,100,,,,100,,,,,,,,,,,,,40,100,,,,,,400,10,1,,,,,,,,6,,,,,,,51,1.2,31.2,0.2,0,9,684.5,0.624447209,0.6845,,,,1,,2,,1,,,,3,,,,,,,,,,23,,9,1,,,10,,,,,,,,,,,,6.25E-05,30,166.7,0,0,0,0.0059988,0,0.0119976,0,0.0059988,0,0,0,0.017996401,0,0,0,0,0,0,0,0,0,0.137972406,0,0.053989202,0.0059988,0,0,0.059988002,0,0,0,0,0,0,0,0,0,0,0
27,1,26,6,177,0.855564507,i,6,i6,5096,37,33,450.09,0.07331867,50,,,,,1,,,,,,,1,,,,,,3000,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,10,,,1,4,,,,,30,,,,,,1,,200,,,30,,100,,,,,,,,50,10,,,,,100,,,,,,,2,,,,5,,,,,,,200,,30,,,,2,20,,,,,5,,600,,,,50,,30,,,,,,,,,,,20,,,,,,10,200,3,100,,,,200,10,5,,,,,,,,3,,,10,,,,58,1.5,33.8,0.7,0,21,702.2,0.640594347,0.7022,,2,,,,4,,1,,,,1,,,,,,,,,,2,,2,,,,14,,1,,6,,,,,,,,1.44E-05,31,450.09,0,0.004443556,0,0,0,0.008887111,0,0.002221778,0,0,0,0.002221778,0,0,0,0,0,0,0,0,0,0.004443556,0,0.004443556,0,0,0,0.03110489,0,0.002221778,0,0.013330667,0,0,0,0,0,0,0
28,1,27,6,178,0.860398205,i,2,i2,4393,31,50,366.74,0.136336369,20,,,,,1,,,,,,,,25,,10,50,,2500,,,,,,,,,,3,,,,,,,,,20,,,,,,,,,,,,,,1,,,,,,50,,,,,,,,200,,,300,,25,,,,,,5,,100,20,,,,,10,,,,,,,3,,,,6,,,,3,,,200,,20,,,,,,,30,,,20,,300,,,,,,40,,,,,,,,,,,,,,,,10,,100,,20,,,,300,1,,,,,,,,,,,,,,,,56,1.2,20.2,0,0,25.8,737.4,0.672706168,0.7374,,,,1,,5,,,,,,4,,1,,2,,,,,,,,8,1,,,10,1,,,17,,,,,,,,3.10E-05,27,366.74,0,0,0,0.002726727,0,0.013633637,0,0,0,0,0,0.01090691,0,0.002726727,0,0.005453455,0,0,0,0,0,0,0,0.021813819,0.002726727,0,0,0.027267274,0.002726727,0,0,0.046354365,0,0,0,0,0,0,0
29,1,27,6,178,0.860398205,i,7,i7,3685,32,50,333.4,0.149970006,,,,,,10,,,,,,,,,,,,,1500,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,1,,,,3,,,,,50,,,,,,,,250,,,150,,100,,,,,,1,,100,20,,,,100,30,,,,,,,5,,,,1,,,,15,,,200,,20,,,,100,,,,10,,50,,50,,,,,,20,,10,,,,,,,,,,,,,,,30,400,,200,,,,200,5,,,,,,,,,50,,,,,,,57,0.15,41.5,0.6,0.1,17.2,648.5,0.591605574,0.6485,,,,,,4,,,,,,3,,,,,,,4,,,,,1,1,,,30,,1,,6,,,,,,,,4.07E-05,30,333.4,0,0,0,0,0,0.0119976,0,0,0,0,0,0.0089982,0,0,0,0,0,0,0.0119976,0,0,0,0,0.0029994,0.0029994,0,0,0.089982004,0,0.0029994,0,0.017996401,0,0,0,0,0,0,0
30,1,27,6,178,0.860398205,a,6,a6,3381,27,50,300.06,0.16663334,100,,,,,,,,,,,,,,,,,,400,,,,20,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,2,,,,,,,,100,10,,,,,,,,,150,,,,10,,100,,,,,,,5,,,,10,,,,,,,300,,20,,,,,,,50,3,,50,,1500,,,1,,,60,,,,,,,,,,,,,,,,,20,50,,200,,,,200,5,,,,,,,,,,5,,,,,,59,2.5,10.8,0,0,18.7,981.9,0.895755609,0.9819,,,,1,,6,,7,,,,2,,,2,,,,,,,12,,5,1,,,3,3,,,8,,,,,,,,4.93E-05,33,300.06,0,0,0,0.003332667,0,0.019996001,0,0.023328668,0,0,0,0.006665334,0,0,0.006665334,0,0,0,0,0,0,0.039992002,0,0.016663334,0.003332667,0,0,0.009998,0.009998,0,0,0.026661334,0,0,0,0,0,0,0
31,1,27,6,178,0.860398205,a,1,a1,1240,25,50,150.03,0.33326668,50,,,,,,,,,,,,,,,5,,,100,,,,3,,,3,,20,,,,,,,3,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,50,,,,,,,,,,50,1,,,5,,60,,,,,,,,,,,,,,,,,,300,,20,,,,20,,,,20,,10,,200,,,80,,,40,,,,,,,,,,,,,,,,,,,,20,,,,150,20,,,,,,,,,,,,,,,,61,0.4,6,0,0,29.5,1020.6,0.931060368,1.0206,,,,1,,2,,1,,,,2,,,1,,,,,,,20,1,9,2,,,4,,1,1,4,,1,,,,,,0.000268763,26,150.03,0,0,0,0.006665334,0,0.013330667,0,0.006665334,0,0,0,0.013330667,0,0,0.006665334,0,0,0,0,0,0,0.133306672,0.006665334,0.059988002,0.013330667,0,0,0.026661334,0,0.006665334,0.006665334,0.026661334,0,0.006665334,0,0,0,0,0
32,1,28,6,179,0.865231902,a,4,a4,2652,35,50,216.71,0.230723086,5,,,,,1,,,,,,,,,,10,20,,500,,,,,,,5,30,10,,,,,,,,,,10,,,,,,,,,,,3,,,,,,,,,30,,,,,30,,,,,,200,1,,2,1,,,,,,200,,,,1,,20,,,,,,,,,,,,,,,,,,200,,30,,,,,,,10,50,,20,,500,,,100,150,,200,,,,,,,,,5,,,,,,,,,,,150,,,,100,3,50,,,,,,,,,2,3,,,,,55,3.15,11.2,0.15,0,33.2,1002.8,0.914822003,1.0028,,,,,,7,,2,,,,2,,1,4,,,,,,,11,,12,,,,8,,,,3,,,,,,,,8.70E-05,28,216.71,0,0,0,0,0,0.032301232,0,0.009228923,0,0,0,0.009228923,0,0.004614462,0.018457847,0,0,0,0,0,0,0.050759079,0,0.055373541,0,0,0,0.036915694,0,0,0,0.013843385,0,0,0,0,0,0,0
33,1,28,6,179,0.865231902,a,5,a5,3778,43,50,250.05,0.199960008,10,150,,,,,,,,,,,,,,,50,,300,,,30,5,,,10,,50,1,,,,,,,,,,,,,,,,,,,8,5,,,,5,,1,,,50,,,50,,,,,,,,200,2,50,,,,,,1,3,200,,,,50,,,,,,,,,,,,,,,,,,,,400,,50,,,,50,,,200,,,30,,500,,,50,80,,50,2,,,5,,,,,,,20,,,,,,,100,,500,,,,400,20,20,,10,,,,30,,20,,,,,10,,61,3.6,6.6,1.1,1.2,20.4,1001,0.913179922,1.001,,,,2,,7,,6,,,1,1,,,,,,,,,,9,,3,3,4,,8,1,,,4,,1,,,,,,5.29E-05,30,250.05,0,0,0,0.0079984,0,0.027994401,0,0.023995201,0,0,0.0039992,0.0039992,0,0,0,0,0,0,0,0,0,0.035992801,0,0.0119976,0.0119976,0.015996801,0,0.031993601,0.0039992,0,0,0.015996801,0,0.0039992,0,0,0,0,0
34,1,28,6,179,0.865231902,a,3,a3,2705,38,50,250.05,0.199960008,50,5,,,,,,,,,,,,,1,5,,,100,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,1,,,,3,,5,,,20,,,,,5,,,10,,,50,,30,,,,1,,,30,100,5,,,,,50,,,,,,,20,,,,,,,,,,,400,,20,,,,,,,20,30,,50,,800,,,100,100,,20,,,,,,,,,5,,,,,,,,,10,,200,,,,400,3,20,,,,,,,,10,15,,,,,,65,0.45,5.2,0.3,0,36.7,949.8,0.866471818,0.9498,,1,,2,,2,,2,,,,,,,,,,,,,,22,,10,1,1,,4,1,,,4,,,,,,,,7.39E-05,28,250.05,0,0.0039992,0,0.0079984,0,0.0079984,0,0.0079984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087982404,0,0.039992002,0.0039992,0.0039992,0,0.015996801,0.0039992,0,0,0.015996801,0,0,0,0,0,0,0
35,1,2,7,183,0.884566693,a,2,a2,3310,40,50,183.37,0.272672738,10,,,,,,,,,,2,,1,,,,20,,300,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,5,,5,,,50,,,5,,,,,,,,500,,,,1,,2,,2,13,50,20,,,5,,,,,,,,,50,,,,5,,,,30,,,300,1,10,1,,,20,,,30,,,150,,300,,,10,10,,50,,30,,,,,,,10,,,,,,,,,,,500,,,,800,3,3,,,,,,,,,,,,,2,,50,0.55,3.8,0,0,37.3,984.9,0.898492412,0.9849,,,,2,,2,,3,,,,6,,1,2,,,,1,,,14,,8,1,2,,4,,,,3,,,,1,,,,8.24E-05,24,183.37,0,0,0,0.01090691,0,0.01090691,0,0.016360364,0,0,0,0.032720729,0,0.005453455,0.01090691,0,0,0,0.005453455,0,0,0.076348367,0,0.043627638,0.005453455,0.01090691,0,0.021813819,0,0,0,0.016360364,0,0,0,0.005453455,0,0,0
36,1,2,7,183,0.884566693,n,1,n1,1440,28,50,200.04,0.24995001,10,20,,,,,,,200,,,,,,,1,,,,,,,1,1,,20,,,10,,1,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,200,5,,5,,,,,3,,50,,,,30,,,,,,,,,,,,,,,,,,,,100,,10,,,1,,,,200,,,,,100,,,,,,,,,,,,,,,3,,,,,,,,,,,400,,,,50,10,,,,,,,,,,2,,,,,,60,1.9,6.1,0,0,34,1390.3,1.268325719,1.3903,,,,1,,10,,,,,,,1,,2,,,,,,,11,,4,1,5,,7,,,,5,,1,,,2,,,0.000173576,26,200.04,0,0,0,0.004999,0,0.049990002,0,0,0,0,0,0,0.004999,0,0.009998,0,0,0,0,0,0,0.054989002,0,0.019996001,0.004999,0.024995001,0,0.034993001,0,0,0,0.024995001,0,0.004999,0,0,0.009998,0,0
37,1,2,7,183,0.884566693,n,2,n2,1011,29,50,166.7,0.299940012,20,100,,,,,,,100,,,,,,,,,,,,,,2,,,60,,,5,,1,,,,,,,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,150,,,10,,,,,,,50,,,,20,,,,,,,,,,,,,,,,,,1,,50,,10,,,1,,,,20,,,10,,30,,,,,,1,,,,,,,1,,2,,,,,,,,,,,300,,,,30,,3,,20,,,,1,,,2,,,,,,55,2.1,4.6,0,0,33.8,1405.5,1.282192188,1.4055,,,,4,,12,,2,,,1,3,2,,,2,,,,,,19,,,1,,,2,,,,1,,1,,,,,,0.000296677,28,166.7,0,0,0,0.023995201,0,0.071985603,0,0.0119976,0,0,0.0059988,0.017996401,0.0119976,0,0,0.0119976,0,0,0,0,0,0.113977205,0,0,0.0059988,0,0,0.0119976,0,0,0,0.0059988,0,0.0059988,0,0,0,0,0
38,1,3,7,184,0.889400391,n,3,n3,1043,38,50,133.36,0.374925015,50,50,,,,,,,100,,,,,,1,3,,,30,,,,,,,50,,,5,,,,,,,,,10,,,,,,,,,,,3,,,,8,,,,,20,,,,,,,,,,,80,30,6,3,1,,,,1,,50,,,,5,,,,,,,,,,,,,,,,,,10,,30,,10,,,,,,,20,5,,10,,30,,,,,,10,,,,,80,,,1,5,,,,,,,1,,,,200,,,,50,20,20,,,,,,,5,,30,,,,,,58,1.6,18.6,3,0.4,33.9,1407.7,1.284199176,1.4077,,,,,,5,,,,,,1,,,3,,,,,,,32,,,1,,,5,,,,,,2,,,1,,,0.000359468,23,133.36,0,0,0,0,0,0.037492501,0,0,0,0,0,0.0074985,0,0,0.022495501,0,0,0,0,0,0,0.23995201,0,0,0.0074985,0,0,0.037492501,0,0,0,0,0,0.014997001,0,0,0.0074985,0,0
39,1,3,7,184,0.889400391,n,4,n4,1891,27,50,166.7,0.299940012,10,10,,,1,,,,300,,,,,,,,,,400,,,,,,,50,8,,,,,,,,,,,,,,,,,,,,,,3,,,,18,,,,,5,,,,,,,,,,,100,100,,,,,2,,2,,50,,,,10,,,,1,,,,,,,,,2,,,,,,,20,,20,,,,,,,20,,,3,,50,,,,1,,,,,,,,,,,,,,,,,,,,,,600,,,,100,,5,,,,,,,,,,,,,,,61,2.55,14,0,0.15,35.6,1420,1.295420069,1.42,,,,1,,6,,,,,,,,1,1,,,,,,,24,,1,,7,,2,,,,6,,,,1,,,,0.000158614,27,166.7,0,0,0,0.0059988,0,0.035992801,0,0,0,0,0,0,0,0.0059988,0.0059988,0,0,0,0,0,0,0.143971206,0,0.0059988,0,0.041991602,0,0.0119976,0,0,0,0.035992801,0,0,0,0.0059988,0,0,0
40,1,3,7,184,0.889400391,n,5,n5,1648,25,50,216.71,0.230723086,30,2,,,,,,,100,,,,,,,,,,,,,,,,,30,,,5,,,,,,,,,5,,,,1,,,,,,,30,,,,50,,,,,5,,,,,,,,,,,50,30,,1,,,,,,,50,,,,30,,,,,,,,,,,,,,,,,,,,80,,20,,,,,,,20,,,50,,200,,,,,,,,,,,,,,,,,,,,,,1,,,,800,,,,50,3,5,,,,,,,,,,,,,,,57,2.7,20.7,0.1,0,31.8,1398.6,1.275897541,1.3986,,,,,,11,,,,,,,,,1,,,,,,,26,,1,1,3,,4,,,,3,,,,,,,,0.000140002,28,216.71,0,0,0,0,0,0.050759079,0,0,0,0,0,0,0,0,0.004614462,0,0,0,0,0,0,0.119976005,0,0.004614462,0.004614462,0.013843385,0,0.018457847,0,0,0,0.013843385,0,0,0,0,0,0,0
41,1,4,7,185,0.894234089,o,4,o4,3455,33,50,150.03,0.33326668,50,150,,,10,,,,500,,,,,,,,,,,,,,30,10,,2,,,50,,10,,,,,,,,,,,,,,,,,1,100,,,,,,,,10,20,,,,40,,,,,,5,1000,50,,,,,,,,,400,,,,50,,,,,,,,,,,,,,,,,,,,20,,10,,,100,,,,300,,,30,,200,,,,,,,,,,,,,,,20,,,,,,,10,,,2,100,,,,100,40,30,,,,,,5,,,,,,,,,60,0,7.8,0,0,35.2,1576.2,1.437916276,1.5762,,,,2,,6,,1,,,,,1,2,7,,,,1,,,17,,,,1,,3,,1,,5,,2,,,,,1,9.65E-05,20,150.03,0,0,0,0.013330667,0,0.039992002,0,0.006665334,0,0,0,0,0.006665334,0.013330667,0.046657335,0,0,0,0.006665334,0,0,0.113310671,0,0,0,0.006665334,0,0.019996001,0,0.006665334,0,0.033326668,0,0.013330667,0,0,0,0,0.006665334
42,1,4,7,185,0.894234089,o,3,o3,4881,36,50,133.36,0.374925015,10,50,,,10,,,,400,,,,,,,,,,,,,,,10,,1,,,100,,50,,,,,,,,,,,,2,,,,,20,30,,,,,,1,,5,300,,,,40,,,,,,40,2000,100,,,2,,5,,20,,200,,,,30,,,,,,,,,,,,,1,,,,5,3,,30,,5,,,20,,,,800,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,400,,,,100,50,30,,,,,,,1,,,,,,,,49,0.1,3.1,0.1,0,28.4,1612.7,1.471214046,1.6127,,,,2,,6,,,,,,,1,1,,3,,,2,1,,12,,5,,1,,8,,,,5,,2,,,1,,,7.68E-05,24,133.36,0,0,0,0.014997001,0,0.044991002,0,0,0,0,0,0,0.0074985,0.0074985,0,0.022495501,0,0,0.014997001,0.0074985,0,0.089982004,0,0.037492501,0,0.0074985,0,0.059988002,0,0,0,0.037492501,0,0.014997001,0,0,0.0074985,0,0
43,1,4,7,185,0.894234089,i,3,i3,5484,30,50,112.5,0.444444444,300,,,,,80,,,,,,,,,,,,,,,,,10,,,30,,10,50,,,,,,,,,100,,,,,,,,,,,30,,,,,,,,,100,,,,,2,,,,,,,,,5,30,,1,,5,,400,,,,,,200,,,,,,,40,,,,,,,,15,,3,200,,600,,,,,,,,,,5,,3000,,,,,,100,,,,,,,,,5,,,,,,,,,,,50,,,,50,50,10,,,,,,,,,,,3,,,,45,0.05,18.6,0,0.05,10.5,711.5,0.649078436,0.7115,,,,,,2,,,,,,4,,1,2,,,,,,,23,,15,,,,3,,,,,,,,,,,,8.10E-05,25,112.5,0,0,0,0,0,0.017777778,0,0,0,0,0,0.035555556,0,0.008888889,0.017777778,0,0,0,0,0,0,0.204444444,0,0.133333333,0,0,0,0.026666667,0,0,0,0,0,0,0,0,0,0,0
